Nombre,Estado,Ubicación,Sitio web
EL HERALDO DE COATZACOALCOS,Veracruz,Coatzacoalcos,www.heraldodecoatzacoalcos....
NOTISUR,Veracruz,Coatzacoalcos,www.diarionotisur.com.mx
DIARIO DE POZA RICA,Veracruz,Poza Rica de Hidalgo,www.diariodepozarica.com.mx
NORESTE,Veracruz,Poza Rica de Hidalgo,www.noreste.net
EL MUNDO DE POZA RICA,Veracruz,Poza Rica de Hidalgo,mundodepozarica.com
EL DESPERTAR DE VERACRUZ,Veracruz,Poza Rica de Hidalgo,www.eldespertardeveracruz.c...
SOTAVENTO,Veracruz,Minatitlán,www.sotavento-diario.com.mx
EL MUNDO DE ORIZABA,Veracruz,Orizaba,www.elmundodeorizaba.com
EL SOL DE ORIZABA,Veracruz,Orizaba,www.elsoldeorizaba.com.mx
EL MUNDO DE CÓRDOBA,Veracruz,Córdoba,www.elmundodecordoba.com
EL SOL DE CÓRDOBA,Veracruz,Córdoba,www.elsoldecordoba.com.mx
EL DIARIO MARTINENSE,Veracruz,Martínez de la Torre,www.diarioelmartinense.com....
EL DIARIO DEL SUR,Veracruz,Acayucán,www.diariodelsur.mx
DIARIO LOS TUXLAS,Veracruz,San Andrés Tuxtla,www.diariolostuxtlas.com
EYIPANTLA MILENIO,Veracruz,San Andrés Tuxtla,www.diarioeyipantla.com
PERFIL,Veracruz,San Andrés Tuxtla,www.noticiasperfil.com
PRESENCIA SURESTE,Veracruz,Las Choapas,www.presencia.mx
DIARIO DE TUXPAN,Veracruz,Tuxpan de Rodríguez Cano,www.diariodetuxpan.com.mx
EL CHILTEPIN,Veracruz,Misantla,www.elchiltepin.com
CRÓNICA,Veracruz,Tierra Blanca,www.cronicatierrablanca.com...
EL MAÑANERO,Veracruz,Oluta,www.diarioelmananero.com.mx
DIARIO DE YUCATÁN,Yucatán,Mérida,www.yucatan.com.mx
LA I YUCATÁN,Yucatán,Mérida,www.laisureste.com
MILENIO NOVEDADES,Yucatán,Mérida,www.milenionovedades.com
PUNTO MEDIO,Yucatán,Mérida,www.puntomedio.com.mx
LA VERDAD YUCATÁN,Yucatán,Mérida,www.laverdadyucatan.com
LA JORNADA MAYA,Yucatán,Mérida,www.lajornadamaya.mx
SIPSE,Yucatán,Yucatán,Sipse.com
EL SOL DE ZACATECAS,Zacatecas,Zacatecas,www.elsoldezacatecas.com.mx
LA JORNADA ZACATECAS,Zacatecas,Zacatecas,www.ljz.mx
IMAGEN,Zacatecas,Zacatecas,www.imagenzac.com.mx
EL DIARIO NTR,Zacatecas,Zacatecas,www.ntrzacatecas.com
PÁGINA 24 ZACATECAS,Zacatecas,Zacatecas,www.pagina24zacatecas.com.m...
