Protestas conjuntas,Nombre,Abreviacion,Seccion,Tipo1,Tipo2,Tipos,Nombre corto,Aparece en RFOSC,Tipo de organización,Forma organizativa,Alcance,Figura jurídica,Precisión del domicilio determinado,Alcance_Estatal,Domicilio,Geolocalización,Sitios web de referencia,lat,lon,Actores adherentes / Aliados,Redes en que participa,Descripción / Historia,Misión / Objetivos
3,Comisión Independiente de Derechos Humanos de Morelos,CIDHM,,DD,,DD,CIDHM,No,Discreta,Civil,local,Asociación Civil,Sede determinada,Morelos,Privada de las Flores #16 Cuernavaca,"18.9228442,-99.2433203,17z",https://www.facebook.com/pg/comision.i.derechoshumanos/about/?ref=page_internal | https://cidhmorelos.wordpress.com/historia/,18.9228442,-99.2433203,Comité Cerezo México///DD/,,"La CIDHM tiene sus antecedentes en 1977, con la creación del Frente Pro Defensa de los Derechos Humanos, Garantías Constitucionales y Libertades Democráticas del Estado de Morelos; fue en esta época cuando múltiples organizaciones civiles tomaron forma y se definieron con carácter independiente. Pero sería hasta 1989 cuando la CIDHM se consolida como tal, debido a dos sucesos principalmente. El primero de ellos fue la desaparición de José Ramón García Gómez, quien fue dirigente de un movimiento en defensa del voto, en diciembre 16 del año 1988 y el segundo, la masacre de jóvenes indígenas en la comunidad de Xoxocotla el 22 de enero de 1989. A partir de estos dos hechos, se tomó conciencia de la importancia que tiene mantener un organismo independiente, que luche cotidianamente en defensa de los derechos humanos que todos tenemos y que no se respetan por las autoridades. En 1992 se constituyó como asociación civil, la Comisión Independiente de Derechos Humanos de Morelos, A.C.","Crear desde la acción afirmativa una cultura de conciencia, respeto y defensa de los Derechos Humanos y la Democracia, para construir una vida libre de violencia. "
1,Comisión Mexicana de Defensa y Promoción de los Derechos Humanos,CMDPDH,,DD,,DD,CMDPDH,Sí,Discreta,Civil,nacional,Asociación Civil,Sede determinada,Nacional,"Tehuantepec 142, Roma Sur, 06760 Ciudad de México, CDMX","19.404852,-99.162605,15z",http://cmdpdh.org/ | https://www.facebook.com/pg/cmdpdh/about/?ref=page_internal,19.404852,-99.162605,,"Federación Internacional de Derechos Humanos | Observatorio Ciudadano Nacional del Feminicidio | Observatorio Ciudadano del Sistema de Justicia | Espacio de Derechos Economicos Sociales y Culturales |  Coalición Mexicana por la Corte Penal Internacional (CMCPI) | Espacio de Coordinación sobre Derechos Económicos, Sociales y Culturales en México (ESPACIO DESC) | Red Internacional de Derechos Económicos, Sociales y Culturales y de la Coalición Internacional de Organizaciones para los Derechos Humanos en  las Américas","La CMDPDH es una organización no gubernamental, autónoma e independiente, fundada en 1989. Somos un equipo multidisciplinario que a través de diferentes perspectivas generamos investigaciones, estrategias de incidencia, difusión y acompañamiento integral a víctimas de violaciones graves a derechos humanos: tortura, ejecuciones extrajudiciales, desaparición forzada, feminicidio, y desplazamiento interno.  Desde hace más de 25 años la CMDPDH trabaja con el objetivo de impactar en la estructura y política gubernamental mexicana, y contribuir a la consolidación de una sociedad que tenga al centro el respeto a la dignidad, y la garantía de los derechos humanos. En la CMDPDH tienen cabida todas las posiciones ideológicas que coincidan con la democracia, la necesidad de defender el Estado de Derecho y el respeto de los derechos humanos como base fundamental de la vida social. Contamos con Estatus Consultivo ante la Organización de los Estados Americanos (OEA) y es una organización afiliada a la Federación Internacional de los Derechos Humanos (FIDH).","Buscamos contribuir a la consolidación de un Estado democrático de derecho basado en una cultura de respeto, protección y garantía de los derechos humanos desde una perspectiva integral y multidisciplinaria que impulse cambios estructurales."
3,Comité 68 Pro Libertades Democráticas,,,DD,,DD,Cmte68,No,Discreta,Civil,local,Asociación Civil,Sede determinada,CDMX,"San Luis Potosi 98, Cuauhtémoc, Roma Norte, 06700 Ciudad de México, CDMX","19.4140741,-99.159066,15z",http://www.comite68.org/ | https://www.facebook.com/pg/comite68.org/about/?ref=page_internal,19.4140741,-99.159066,,,"El Comité 68 Pro Libertades Democráticas está constituido por compañeras y compañeros partícipes del Movimiento Estudiantil de 1968 que continúan luchando contra la impunidad, a lo largo de casi cinco décadas, siempre junto a las demandas de justicia, libertad y democracia. Una de las principales característica del Comité 68 es haber iniciado la  reivindicación de la lucha estudiantil de 1968, la búsqueda de justicia para el pueblo mexicano que ha vivido cientos de agravios y violaciones; por más de 50 años, para el año de 1968, el pueblo ya había experimentado un sin número de luchas populares encabezadas por maestros, obreros, médicos, campesinos, amas de casa, estudiantes y más sectores de la población, topándose con la misma respuesta en todos los casos la represión por parte del ejército,  policías y cuerpos de seguridad.",Por la verdad y la justicia contra la impunidad
1,Comité Amigos de Puerto Rico,CAPR,,SI,,SI,CAPR,No,Discreta,Civil,internacional,Desconocida,Por mayoría en Eps,Internacional,"Embajada de Estados Unidos, Cuauhtémoc, Ciudad de México","19.4283056,-99.168505,17z",http://redaccionpopular.com/articulo/declaracion-central-del-comite-amigos-de-puerto-rico |  http://partidodeltrabajo.org.mx/2011/seminarioXXI/site/docs/2147.pdf | http://www.jornada.unam.mx/2014/07/26/politica/016n3pol,19.4283056,-99.168505,Frente Popular Francisco Villa Independiente | Partido Popular Socialista | Frente del Pueblo,Coordinadora Mexicana de Apoyo al Estado Nacional Soberano de Borinken,Por la independencia de Puerto Rico de EUA,
4,Comité Cerezo México,,,DD,,DD,CmteCerezo,No,Discreta,Civil,local,Desconocida,Sede determinada,CDMX,"Volcán Kirishima #6, Tlalpan, Distrito Federal, Mexico","19.2703734,-99.187765,17z",https://www.comitecerezo.org/spip.php?article25 | https://www.facebook.com/ComiteCerezoDH/,19.2703734,-99.187765,Brigadas internacionales de Paz | Chiapas SweFOR,"Red Nacional Todos los Derechos para Todas y Todos | Espacio OSC, Para la protección de personas defensoras y periodistas | Campaña nacional contra la desaparición forzada","El Comité Cerezo México surge a raíz de la detención (13 de agosto de 2001), tortura y encierro de los hermanos Alejandro, Héctor y Antonio Cerezo Contreras y coacusados Pablo Alvarado Flores y Sergio Galicia Max, en penales de Alta Seguridad en México. Inició como un colectivo de trabajo solidario y voluntario integrado por Francisco y Emiliana Cerezo Contreras (hermanos) y amigos de los presos de conciencia. Actualmente, también está integrado por personas sensibles y solidarias; víctimas de hostigamiento y amenazas por parte del Estado y, sobrevivientes de tortura y encarcelamiento ilegal e injusto. Somos una organización de trabajo, solidario y voluntario, dedicado a la defensa y promoción de los Derechos Humanos de víctimas de la represión por motivos políticos en México, con un carácter civil, autónomo, laico e independiente El Comité es una organización que contribuye, en el ámbito nacional, al conocimiento y uso de la herramienta de los Derechos Humanos; a la defensa de los DH y que acompaña a los diferentes actores de la sociedad en su perseverancia legítima por obtener el pleno derecho a la autodeterminación y a la justicia. Capacitamos a personas y organizaciones sociales con talleres sobre derechos humanos, documentación de las violaciones a los derechos humanos, acompañamiento a personas en injusta reclusión y sobre la seguridad para organizaciones civiles y sociales. El trabajo del Comité Cerezo está basado en el principio de la solidaridad humana como pilar fundamental para la construcción de una sociedad que garantice el completo disfrute de los Derechos Humanos, vistos como interdependientes e integrales.","El Comité es una organización que contribuye, en el ámbito nacional, al conocimiento y uso de la herramienta de los Derechos Humanos; a la defensa de los DH y que acompaña a los diferentes actores de la sociedad en su perseverancia legítima por obtener el pleno derecho a la autodeterminación y la justicia."
1,Comité de Bases Ampliadas de la Educación Media Superior,CBAEMS-Gro,Guerrero,ED,SPB,ED / SPB,CBAEMS-Gro,No,Discreta,Económico-gremial,local,Desconocida,Por mayoría en Eps,Guerrero,"Av. Costera Miguel Alemán, Acapulco de Juárez, Guerrero","16.8583635,-99.8899845,17z",http://suracapulco.mx/tag/comite-de-bases-ampliadas-de-la-educacion-media-superior/ | http://suracapulco.mx/tag/pericles-ramirez-jimenez/,16.8583635,-99.8899845,CETEG,,"Conformada por trabajadores del Centro de Bachillerato Tecnológico Industrial y de Servicios (CBTIS), del Centro de Estudios Tecnológico Industrial y de Servicios (CETIS), del Centro de Bachillerato Tecnológico Agropecuario (CBTA) y del Centro de Bachillerato Tecnológico Forestal (CBTF) del estado.",
1,Comité de Derechos Humanos de Tabasco,CODEHUTAB,,DD,,DD,CODEHUTAB,No,Discreta,Civil,local,Asociación Civil,Sede determinada,Tabasco,"Sánchez Magallanes 844, Centro, 86000 Villahermosa, Tabasco","17.9945191,-92.9203422,15z",https://wiser.directory/organization/comite-de-derechos-humanos-de-tabasco-a-c-codehutab/ | https://twitter.com/codehutab?lang=es | http://www.gloobal.net/iepala/gloobal/fichas/ficha.php?id=4228&entidad=Agentes&html=1 | http://www.la-verdad.com.mx/cumple-codehutab-21-anos-servicio-sociedad-tabasquena-24069.html | http://www.periodistasdeapie.org.mx/ongs-example.php?pagina=19,17.9945191,-92.9203422,,Red Mexicana de Acción Frente al Libre Comercio |  Red Nacional de Organismos Civiles de Derechos Humanos Todos los Derechos Para Todos,"Organización de la sociedad civil, sólida y confiable, que promueve y defiende los Derechos Humanos de los grupos más vulnerables en el estado de Tabasco, a través de la denuncia y participando en las incidencias de las politícas públicas.","A). Impulsar una cultura de respeto por los Derechos Humanos de una manera integral en beneficio de los más desprotegidos B). Atender casos paradigmáticos de violación a los Derechos Humanos integralmente considerado y a los defensores de éstos atrvés de la asesoría directa. C). Incidir en las políticas públicas en materia de Derechos Humanos, através de la denuncia y seguimiento en medios de comunicación y del cavildeo con instancias"
6,Comité de Familiares de Detenidos Desaparecidos ¡Hasta Encontrarlos!,,,AV,,AV,¡HastaEncontrarlos!,No,Discreta,Civil,local,Desconocida,Municipial,CDMX,"Delegación Cuauhtémoc, Ciudad de México","19.4328466,-99.1708249,14z",http://hastaencontrarlos.org/ | https://www.facebook.com/hastaencontrarlos/,19.4328466,-99.1708249,Centro Diocesano para los Derechos Humanos Fray Juan de Larios,Campaña Nacional contra la Desaparición,"El Comité de Familiares de Detenidos Desaparecidos Hasta Encontrarlos es una organización integrada en su mayoría por familiares de detenidos desaparecidos, surge en junio del 2007 a raíz de la desaparición forzada de los luchadores sociales Edmundo Reyes Amaya y Gabriel Alberto Cruz Sánchez sucedida el 25 de mayo del 2007 en la ciudad de Oaxaca. Somos una organización autónoma e independiente, sin fines de lucro, realizamos diferentes actividades con el apoyo y la solidaridad de diversas organizaciones sociales y de derechos humanos. Participamos en diversos espacios desde los cuales se han impulsado acciones en contra de la desaparición forzada, como Campaña Nacional contra la Desaparición forzada en México desde el 30 de agosto del 2010.","Exigir la presentación con vida de nuestros detenidos desaparecidos. Brindar acompañamiento a familiares victimas de desaparición forzada. Llevar a cabo acciones de denuncia, sensibilización y concientización sobre la desaparición forzada de personas en México, en coordinación con organizaciones de derechos humanos, organizaciones de familiares y organizaciones solidarias con la finalidad de que se prevenga, erradique y sancione este crimen de lesa humanidad."
2,Comité de Madres y Familiares con Hijas Desaparecidas,CoMaFHiD,,AV,FA,AV / FA,CoMaFHiD,No,Discreta,Civil,local,Informal,Por mayoría en Eps,Chihuahua,"Hospital de la Mujer, Juárez, Chihuahua","31.7368467,-106.4549302,17z",https://www.facebook.com/notes/rjchihuahua-ricardo/comit%C3%A9-de-madres-y-familiares-con-hijas-desaparecidas-y-red-mesa-de-mujeres-de-c/377044565648580/,31.7368467,-106.4549302,,,Conformado por 31 madres y familiares,Encontrar a sus familiares desaparecidos
1,Comite de Solidaridad y Derechos Humanos Monseñor Romero,,,DD,RL,DD / RL,CSDH_MnsrRomero,Sí,Matriz,Civil,local,Asociación Civil,Sede determinada,CDMX,"Patricio Sáenz #449, colonia Del Valle, delegación Benito Juárez, Ciudad de México","19.3939633,-99.1719702,17z",http://www.comiteromerodcusa.org/es/,19.3939633,-99.1719702,,,"Los Comités nacen a partir del 24 de marzo de 1980, fecha en que es asesinado Mons. Óscar Romero por su compromiso con los más pobres. Están inspirados en valores de justicia, solidaridad y fraternidad cristiana. Existen Comités en América Latina y Europa, coordinados con el SICSAL (Servicio Internacional Cristiano de Solidaridad con los pueblos de América Latina)","Somos una organización sin fines de lucro establecida en el año 2001 para emprender acciones caritativas, educacionales y humanitarias. Trabajamos actualmente con comunidades vulnerables del área metropolitana de Washington DC y familias necesitadas de Latinoamérica."
2,Comité Ejecutivo Nacional Democrático del Sindicato Nacional de los Trabajadores de la Educación,CEND-SNTE,,SPB,ED,SPB / ED,CEND-SNTE,No,Matriz,Económico-gremial,nacional,Sindical,Sede determinada,Nacional,"Calle Balderas #12, esquina Av Juárez","19.4352372,-99.1479203,19z",https://www.facebook.com/pg/CENDxSNTE/about/?ref=page_internal | http://cendsnte.org/ | https://cnsuesic.jimdo.com/qui%C3%A9nes-somos/sindicatos-integrantes/cend-snte/,19.4352372,-99.1479203,,,"El Comité Ejecutivo Nacional Democrático (CEND) del Sindicato Nacional de los Trabajadores de la Educación (SNTE), nace con el objetivo de potenciar la democratización del sindicato e instalar una Dirección Colectiva Nacional de contraposición a la ilegítima Elba Esther Gordillo. Ha tenido como sede, un local rentado en Juárez y otro en Quiches 11, cuya renta (7,500.00 y 5,000.00 respectivamente se cubre con las aportaciones de los contingentes, 5,500.00 desde enero de 2010). La elección del Primer Comité Ejecutivo Nacional Democrático del SNTE, no contraviene los principios de la CNTE, se inscribe en la línea marxista-leninista de construcción del poder de los trabajadores, poder consejista, poder obrero, independiente y autónomo. El CEND, con un funcionamiento democrático-horizontal de Dirección Colectiva a nivel de la representación ante las organizaciones hermanas y ante los medios informativos se presenta con las Secretarías nombradas en el Congreso. El CEND desplegamos labores de enlace, articulación, apoyo a la coordinación entre las fuerzas democráticas, información, formación político-sindical y pedagógica, labores de sistematización de las propuestas educativas. ","Democracia participativa y protagónica. la unidad dialéctica del consejo político nacional con el sistema nacional de asambleas de base. la estrategia dialógica, como el arte de enlazar nuevas voluntades y nuevas fuerzas. la movilización integral. pedagogía de la liberación y del ejemplo, apropiación popular de la cultura universal, de la ciencia y la tecnología, de los saberes y conocimientos populares. deseo y alegría de luchar, por la vida, por la dignidad y la felicidad."
1,Comité estudiantil de la Escuela Normal de Ayotzinapa,,,ES,,ES,CmteAyotzinapa,No,Discreta,Urbano-gremial,local,Comité Estudiantil,Sede determinada,Guerrero,Escuela normal rural “Raúl Isidro Burgos”,"17.5531616,-99.4121801,17z",https://www.sdpnoticias.com/local/guerrero/2014/09/30/son-43-los-normalistas-que-continuan-desaparecidos-comite-estudiantil-de-ayotzinapa,17.5531616,-99.4121801,,,,
2,Comité Pro Mejoramiento del Agro Guanajuatense,,,CA,,CA,CmteAgroGto,No,Matriz,Económico-gremial,local,Asociación Civil,Municipial,Guanajuato,"Salamanca, Guanajuato","20.5665355,-101.200184,14z",https://www.facebook.com/pg/Comit%C3%A9-Pro-Mejoramiento-Del-Agro-Guanajuatense-A-C-842411605878363/about/?ref=page_internal | http://agroguanajuatense.blogspot.mx/,20.5665355,-101.200184,,,"Somos una organización de campesinos dedicada a luchar para obtener condiciones favorables hacia las actividades relacionadas con el sector rural, la cual fue creada el 5 de febrero del año 2000 y nos constituimos como asociación civil en el 2003. Trabajamos de manera conjunta con los comités establecidos en los estados de Zacatecas, Aguascalientes, Coahuila, San Luis potosí, Durango, Estado de México, Jalisco, Michóacan y Chihuahua, así como también participamos en la comision de desarrollo económico para la búsqueda de soluciones del consejo mexicano de desarrollo social sustentable y asociamos principalmente usuarios de tarifas agrícolas tanto de sector social como de la pequeña propiedad.",Somos una organización de campesinos dedicada a luchar para obtener condiciones favorables hacia las actividades relacionadas con el sector rural.
1,Comité Solidaridad con Ayotzinapa,,,AC,,AC,CmteSolidaridadAyotz,No,Discreta,Civil,nacional,Informal,Por mayoría en Eps,Nacional,Plaza de la constitución,"19.4326068,-99.1353989,17z",https://www.facebook.com/comite.ayotzinapa?lst=100001277612733%3A100007158557580%3A1504039479,19.4326068,-99.1353989,,,"Conformado por personas independientes y diversas organizaciones que trabajamos en varios sectores, entre ellos el estudiantil y barrial","Organiza caravanas, apoya la lucha social"
2,Comuna Oaxaca,,,AP,,AP,ComunaOax,No,Discreta,Urbano-gremial,local,Desconocida,Sede determinada,Oaxaca,"Yagul 208, Fracc. San Jose La Noria, 68120 Oaxaca, Oax.","17.0504524,-96.7220261,15z",https://www.facebook.com/pg/ComunaOaxaca/about/?ref=page_internal | https://twitter.com/comunaoax?lang=es | http://ciudadania-express.com/2015/04/21/anuncian-la-creacion-de-organizacion-social-comuna-oaxaca/ | http://enfoqueoaxaca.com/aqui-y-ahora/anuncia-comuna-oaxaca-las-posadas-de-denuncia-y-exigencia-en-casas-de-funcionarios-ineptos/,17.0504524,-96.7220261,Frente Popular Revolucionario | MULT | UACOL,,"Comuna Oaxaca es una organización social y política que agrupa a pueblos y comunidades de seis regiones del estado de Oaxaca. Durante el tiempo que ha transcurrido la administración del gobernador Gabino Cué, Comuna Oaxaca ha asumido una actitud responsable y propositiva canalizando sus peticiones  y propuestas por la vía institucional, considerando que su gobierno fue electo democráticamente y que el gobernador  ha mostrado una actitud de diálogo y apertura con organizaciones políticas y sociales de distintos signos partidistas, sin dejar de ser críticos cuando lo hemos considerado necesario. Nuestra organización tiene una posición política de izquierda que se ha definido claramente en distintos momentos y coyunturas.",
1,Comunidades Eclesiales de Base,CEB,,RL,,RL,CEB,No,Matriz,Matriz religiosa,nacional,Desconocida,Sede determinada,Nacional,"Tenayuca #350, Colonia Santa Cruz Atoyac, Delegación Benito Juárez, Ciudad de México","19.368812,-99.1629599,17z",https://www.facebook.com/cebmex/about?lst=100001277612733%3A100004858819065%3A1504144728&section=bio&pnref=about | http://www.cebmx.org/index.php/portada/2015-04-12-22-17-52,19.368812,-99.1629599,,,"Las Comunidades Eclesiales de Base (CEB) son un modelo eclesial que concretizó la opción evangélica por los pobres. Su caminar se ha cimentado sobre la roca firma del seguimiento del Jesús de la historia para realizar su Reino en el mundo de hoy.  Conscientes de que en el caminar ha habido tropiezos y contradicciones, tenemos la certeza de que el Señor de la vida nos ha concedido abundantes frutos los cuales son nuestra fortaleza para enfrentar estos momentos.","Las Comunidades Eclesiales de Base, llamadas por Jesús a ser discípulos que testimonien el Reino, nos sentimos enviadas a: FORMAR COMUNIDADES VIVAS Y FRATERNAS EN DONDE SE REFLEXIONE LA REALIDAD A LA LUZ DE LA PALABRA DE DIOS; Y DESDE LOS POBRES Y EXCLUIDOS (AS) CONTRIBUIR EN LA CONSTRUCCIÓN DE LA IGLESIA Y DE UNA SOCIEDAD JUSTA Y SOLIDARIA. Ejes transversales: 1. Formación 2. Espiritualidad 3. Articulación y Organización 4. Ministerios y servicios pastorales 5. Transformación social y participación ciudadana. 6. Opción evangélica por los pobres. 7. Perspectiva de género"
2,"Confederación Agrarista Mexicana, Profesor Francisco Hernández Mercado",CAM,,CA,,CA,CAM,Sí,Paraguas,Económico-gremial,nacional,Asociación Civil,Sede determinada,Nacional,"Antonio Solis 156, Obrera, 06800 Ciudad de México, CDMX","19.4096419,-99.1362695,15z",https://confederacionagraristamexicana.es.tl/Presentaci%F3n.html | https://www.facebook.com/CAM-Confederaci%C3%B3n-Agrarista-Mexicana-736388319874803/,19.4096419,-99.1362695,"Coordinadora Popular y Campesina CR | Fundación para la Planeación y Desarrollo Rural Sostenible, en el Norte de México",Congreso Agrario Permanente Nacional,"Nuestro líder fundador el PROFESOR HUMBERTO SERRANO PÉREZ, Participó como miembro fundador de la Central Campesina Independendiente (C.C.I) el 6 de enero de 1963, acontecimiento presidido por el Sr. General Lázaro Cárdenas y  en donde destacan la  participación de líderes agrarios y miembros del Partido Comunista Mexicano, entre ellos Braulio Maldonado Sandes, (primer gobernador de  Baja c california), Alfonso Garzón Santibáñez, Ramón Danzos Palominos, Genaro  Vázquez, Arturo Horona, Lucio Cabañas, entre otros.Años después se da una división interna en al C.C.I. y se fracciona en tres liderazgos  encabezados por Alfonso Garzón Santibáñez, Humberto Serrano Pérez y Ramón Danzos Palominos, motivo que orillo a nuestro líder a tomar la decisión de constituir el Consejo Agrarista Mexicano el 13 de Septiembre de 1970, con la finalidad de distinguirse y sobre todo plasmar dentro de los objetivos de la nueva Central Campesina, las tesis de lucha agraria que a la fecha sigue vigentes en nuestra Organización: El respeto y la preservación de la propiedad social.  El cumplimiento irrestricto a las resoluciones presidenciales de reparto agrario. Se constituye por organizaciones campesinas de clase; funcionará como un organismo autónomo e independiente: aceptará y respetará la autonomía de las organizaciones; operará privilegiando la pluralidad y afiliación política de sus integrantes","Contribuir en el Desarrollo Rural y Manejo Sustentable de los Recursos Naturales, combatiendo la pobreza, para lograr la Soberanía Alimentaria mediante la producción de actividades productivas del Sector:  Agropecuario, Forestal y Pesquero; participando del crecimiento de México y nuestro Estado, en un marco de Pluralidad y Justicia Social"
1,"Confederación de Obreros, Campesinos y Empleados de México",COCEM,,RP,,RP,COCEM,No,Paraguas,Económico-gremial,nacional,Desconocida,Sede determinada,Nacional,"calle cuauhtemoc #90, san javier, tlalnepantla, tlalnepantla de baz estado de mexico, méxico , cp 54030 ","19.5400178,-99.1927217,17z",https://guiamexico.mx/empresa/2052525/cocem-confederacion | https://www.champoton.org/estado_de_mexico/?page=detail&get_id=449615&category=21 | http://www.stps.gob.mx/02_sub_trabajo/03_dgra/cent_cocem.htm,19.5400178,-99.1927217,"Sindicato de trabajadores de la industria de la celulosa, cartonera, papelera, en todas sus formas, similares y derivados de la republica mexicana | union de trabajadores de la industria metalurgica y siderurgica, del hierro, acero y metalmecanica, conexos y derivados de la republica mexicana | union de trabajadores de la industria automotriz, similares y conexos de la republica mexicana | sindicato de trabajadores y empleados de la industria quimica, laboratorios farmaceuticos, articulos para tocador y plasticos de la republica mexicana", ,"Cocem Confederación esta registrada desde JULIO 2010 con número de registro 2052525 bajo la actividad económica Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios ( 813110 ) Codigo actividad Scian. con razon social Confederación De Obreros Campesinos Y Empleados De México, actualmente cuenta con 31 a 50 personas ubicada en la entidad federativa México",ASOCIACIONES Y ORGANIZACIONES LABORALES Y SINDICALES
